date,open,high,low,close,volume
2007-03-30,4177.6699,4207.7598,4160.3501,4181.0298,0
2007-04-02,4177.3101,4191.7598,4163.7700,4189.5498,0
2007-04-03,4199.5400,4248.0698,4199.5400,4246.2998,0
2007-04-04,4252.7100,4261.8301,4242.0498,4261.8301,0
2007-04-05,4259.9800,4274.1699,4253.7900,4271.5400,0
2007-04-10,4275.6802,4307.6602,4267.0098,4301.4702,0
2007-04-11,4298.2402,4326.7002,4284.9199,4293.2002,0
2007-04-12,4290.1099,4291.1001,4249.2998,4280.0200,0
2007-04-13,4285.5601,4319.2798,4284.0298,4317.3501,0
2007-04-16,4333.9502,4380.5200,4333.3901,4379.2500,0
2007-04-17,4374.3599,4391.2798,4348.6201,4384.3799,0
2007-04-18,4377.7798,4377.7798,4338.5098,4358.9502,0
2007-04-19,4330.3599,4339.9302,4288.1099,4339.9302,0
2007-04-20,4350.6699,4431.3301,4350.6699,4416.7900,0
2007-04-23,4416.0698,4428.4199,4390.9399,4400.1201,0
2007-04-24,4399.1699,4402.8599,4348.6899,4367.8301,0
2007-04-25,4380.5898,4415.9600,4380.5898,4404.4399,0
2007-04-26,4415.8198,4434.0601,4403.0601,4414.2100,0
2007-04-27,4407.7002,4412.9102,4366.8501,4383.1299,0
2007-04-30,4378.2500,4409.4199,4370.2700,4392.3398,0
2007-05-02,4401.9399,4423.8398,4397.3398,4415.4800,0
2007-05-03,4429.5000,4432.1699,4394.1899,4427.3198,0
2007-05-04,4429.2798,4449.3301,4413.0400,4445.5898,0
2007-05-07,4448.0601,4452.8198,4432.8799,4441.3101,0
2007-05-08,4434.9600,4435.6001,4398.0098,4411.3198,0
2007-05-10,4422.4102,4427.6099,4387.1899,4391.8701,0
2007-05-11,4376.4502,4425.3501,4331.3599,4423.0698,0
2007-05-14,4435.1001,4446.5698,4406.4600,4413.7202,0
2007-05-15,4400.7900,4444.9702,4390.5098,4441.0298,0
2007-05-16,4434.5298,4445.2202,4415.6699,4422.6201,0
2007-05-18,4428.9600,4484.1299,4425.0498,4480.8101,0
2007-05-21,4482.3301,4484.7798,4459.9102,4465.5400,0
2007-05-22,4466.5298,4483.7002,4457.3501,4469.8799,0
2007-05-23,4473.5000,4500.6099,4472.0498,4499.6899,0
2007-05-24,4477.0400,4495.9199,4449.3198,4452.7002,0
2007-05-25,4439.6499,4470.6401,4421.4199,4463.5200,0
2007-05-29,4480.0400,4483.8398,4462.2798,4474.8101,0
2007-05-30,4457.0400,4470.5000,4426.6401,4468.7202,0
2007-05-31,4484.5000,4522.2402,4484.5000,4512.6499,0
2007-06-01,4516.0298,4562.3901,4515.2700,4556.9702,0
2007-06-04,4550.0200,4556.1201,4521.0498,4537.8101,0
2007-06-05,4542.8901,4550.3501,4507.1001,4513.1802,0
2007-06-06,4511.0200,4516.2700,4434.7700,4437.2900,0
2007-06-07,4446.3901,4461.8101,4369.4702,4381.4502,0
2007-06-08,4376.5498,4399.1299,4330.2700,4376.4199,0
2007-06-11,4394.4902,4418.8101,4394.4902,4415.5000,0
2007-06-12,4408.5098,4421.3398,4368.3799,4383.0200,0
2007-06-13,4372.5400,4413.4199,4349.7202,4401.6802,0
2007-06-14,4427.1499,4485.0400,4427.1499,4485.0400,0
2007-06-15,4491.4600,4556.0400,4491.4600,4551.0000,0
2007-06-18,4551.2998,4559.7300,4517.1602,4530.2202,0
2007-06-19,4529.8398,4547.9902,4516.6899,4527.2202,0
2007-06-20,4539.3701,4572.8198,4538.6099,4545.6099,0
2007-06-21,4527.3799,4527.3799,4462.5898,4488.6602,0
2007-06-22,4496.1001,4509.1899,4470.5498,4479.3599,0
2007-06-25,4456.7798,4478.1802,4423.8198,4471.1299,0
2007-06-26,4451.9302,4460.4502,4420.7900,4433.0400,0
2007-06-27,4418.8599,4418.8799,4383.3701,4412.1201,0
2007-06-28,4433.8999,4458.9800,4433.8999,4457.9902,0
2007-06-29,4467.1699,4489.7700,4441.1802,4489.7700,0
2007-07-02,4471.7998,4479.8101,4450.2900,4470.2598,0
2007-07-03,4483.3799,4522.4800,4483.3799,4513.0098,0
2007-07-04,4519.4199,4530.2002,4515.2500,4524.2402,0
2007-07-05,4533.0000,4537.9302,4486.7202,4491.8701,0
2007-07-06,4492.0898,4524.4502,4486.5000,4524.4502,0
2007-07-09,4530.4502,4551.2700,4522.8101,4528.7598,0
2007-07-10,4526.8101,4545.0298,4461.7300,4474.1499,0
2007-07-11,4448.8198,4455.8799,4403.5601,4447.5200,0
2007-07-12,4458.1602,4517.7002,4434.8101,4517.7002,0
2007-07-13,4537.3901,4560.6899,4532.1499,4542.5698,0
2007-07-16,4547.6802,4564.0298,4539.7402,4557.5698,0
2007-07-17,4555.7798,4555.7798,4515.1602,4538.3101,0
2007-07-18,4512.4302,4519.6001,4472.2202,4472.2202,0
2007-07-19,4493.4399,4533.3301,4493.4399,4522.6401,0
2007-07-20,4516.2900,4530.7700,4442.5801,4445.2300,0
2007-07-23,4444.9302,4482.7500,4428.2598,4482.7500,0
2007-07-24,4474.4199,4481.4102,4407.3701,4412.0601,0
2007-07-25,4395.6099,4419.9399,4339.5898,4360.8999,0
2007-07-26,4373.7100,4387.0000,4252.9199,4252.9199,0
2007-07-27,4237.6099,4287.0400,4208.1602,4244.5801,0
2007-07-30,4246.8599,4265.4902,4211.4702,4239.1802,0
2007-07-31,4261.1201,4324.4302,4261.1201,4315.6899,0
2007-08-02,4262.6802,4306.9600,4261.2700,4288.6602,0
2007-08-03,4295.7900,4304.2798,4222.7202,4229.1899,0
2007-08-06,4201.6602,4221.9199,4181.7998,4202.7798,0
2007-08-07,4229.2998,4276.7998,4229.2998,4276.7998,0
2007-08-08,4296.1099,4374.6699,4296.1099,4364.2202,0
2007-08-09,4353.8999,4353.8999,4245.8398,4275.1802,0
2007-08-10,4235.0098,4235.0098,4139.2598,4161.2900,0
2007-08-13,4189.0298,4257.9399,4189.0298,4255.7900,0
2007-08-14,4237.7402,4257.6499,4183.6602,4195.6001,0
2007-08-15,4170.9902,4192.3198,4136.5200,4183.0601,0
2007-08-16,4148.7402,4148.7402,4060.4299,4062.3301,0
2007-08-17,4059.0300,4215.5698,4028.7200,4157.2002,0
2007-08-20,4180.9600,4209.6299,4168.6401,4173.2900,0
2007-08-21,4179.3398,4197.1802,4127.1699,4175.0698,0
2007-08-22,4187.5098,4240.5898,4187.2500,4226.5200,0
2007-08-23,4254.0298,4268.5400,4225.8901,4225.8901,0
2007-08-24,4212.7900,4249.5601,4201.7998,4238.6299,0
2007-08-27,4247.2900,4261.4302,4236.9199,4240.9502,0
2007-08-28,4235.2798,4235.2798,4164.5801,4170.6802,0
2007-08-29,4149.9702,4197.6401,4135.7402,4193.5801,0
2007-08-30,4215.9199,4253.6299,4191.8301,4246.1201,0
2007-08-31,4264.3999,4313.0200,4259.5400,4294.5601,0
2007-09-03,4297.9600,4306.7700,4288.0000,4295.9902,0
2007-09-04,4288.0801,4326.9600,4262.1201,4324.3501,0
2007-09-05,4312.4399,4318.9302,4235.4102,4235.4102,0
2007-09-06,4250.2100,4268.3999,4202.9199,4256.1201,0
2007-09-07,4251.6802,4265.1802,4154.0898,4162.4199,0
2007-09-10,4165.5298,4192.7798,4131.4800,4136.4502,0
2007-09-11,4161.5000,4206.1602,4159.9302,4197.3501,0
2007-09-12,4197.8999,4215.6499,4172.2300,4210.6899,0
2007-09-13,4202.3701,4254.2100,4180.4702,4249.0098,0
2007-09-14,4236.8999,4236.8999,4191.5000,4221.3398,0
2007-09-17,4215.3198,4215.9600,4165.3701,4184.6099,0
2007-09-18,4177.1099,4268.5801,4167.8701,4264.4199,0
2007-09-19,4310.5200,4401.4600,4310.5200,4389.3301,0
2007-09-20,4369.2300,4375.7598,4346.2402,4366.1602,0
2007-09-21,4355.4702,4393.9102,4350.8901,4370.3501,0
2007-09-24,4363.5200,4375.3901,4350.3398,4360.6299,0
2007-09-25,4345.8301,4348.1699,4303.6201,4328.8901,0
2007-09-26,4341.9199,4375.4102,4341.9199,4364.3999,0
2007-09-27,4384.1201,4404.1001,4381.3901,4388.9800,0
2007-09-28,4389.0801,4395.5200,4351.9600,4381.7100,0
2007-10-01,4361.5898,4413.2402,4344.1099,4409.6499,0
2007-10-02,4422.1602,4443.7700,4417.5601,4427.0098,0
2007-10-03,4428.8701,4431.5498,4409.1299,4421.5801,0
2007-10-04,4411.5200,4436.1401,4400.2100,4420.3901,0
2007-10-05,4423.3599,4465.4502,4423.2598,4455.3101,0
2007-10-08,4458.1401,4459.4902,4434.1001,4435.8701,0
2007-10-09,4433.5400,4457.8901,4422.5801,4447.5801,0
2007-10-10,4448.4399,4455.9502,4425.3901,4442.6099,0
2007-10-11,4443.3701,4485.5000,4442.2500,4473.5698,0
2007-10-12,4454.3398,4476.0200,4423.8398,4476.0200,0
2007-10-15,4474.7798,4477.9502,4430.8101,4434.9800,0
2007-10-16,4422.6602,4424.1299,4399.3101,4420.9102,0
2007-10-17,4415.1699,4455.3701,4410.2900,4441.7998,0
2007-10-18,4445.8198,4459.5698,4410.6201,4420.3799,0
2007-10-19,4410.7500,4431.4199,4402.1401,4411.2598,0
2007-10-22,4408.7798,4408.7798,4332.4502,4356.2402,0
2007-10-23,4368.2700,4396.1299,4368.2700,4378.4199,0
2007-10-24,4378.9902,4391.5098,4344.3999,4357.1401,0
2007-10-25,4378.8101,4422.1401,4378.7100,4412.1201,0
2007-10-26,4416.6099,4449.3599,4404.2798,4440.2300,0
2007-10-29,4453.4199,4476.4399,4453.4199,4471.4600,0
2007-10-30,4466.4600,4468.0698,4455.8701,4462.9502,0
2007-10-31,4463.1401,4489.7900,4455.0298,4489.7900,0
2007-11-01,4491.6401,4497.3198,4399.0801,4415.2700,0
2007-11-02,4398.2300,4417.1401,4378.8501,4410.0801,0
2007-11-05,4398.3101,4400.2500,4373.7202,4392.7998,0
2007-11-06,4400.3501,4421.2700,4398.9902,4407.3398,0
2007-11-07,4416.9902,4429.6802,4356.7100,4400.3398,0
2007-11-08,4379.9302,4391.2202,4333.8799,4363.6001,0
2007-11-09,4367.7202,4392.5498,4279.1602,4297.8301,0
