date,open,high,low,close,volume
2014-12-30,1491.1000,1493.4400,1450.0500,1460.1100,16799419
2014-12-31,1455.6800,1479.8600,1451.2900,1471.7600,14413885
2015-01-05,1470.5800,1470.5800,1429.0800,1464.7700,17918525
2015-01-06,1458.5700,1542.1500,1454.1400,1539.8300,23463900
2015-01-07,1542.4000,1547.2500,1517.3700,1523.3900,18445959
2015-01-08,1516.8300,1565.7700,1516.8300,1541.8900,18696816
2015-01-09,1535.3300,1583.7500,1534.6100,1553.2400,18988280
2015-01-12,1552.0500,1587.1800,1550.6200,1586.1200,16188545
2015-01-13,1587.6900,1611.1300,1578.4000,1601.1700,17954630
2015-01-14,1598.7200,1605.1600,1579.5500,1588.0100,15881401
2015-01-15,1584.6800,1606.5600,1578.2200,1586.3400,14727005
2015-01-16,1586.7100,1641.5300,1586.6400,1639.5600,18420218
2015-01-19,1608.2500,1691.1400,1599.6600,1630.0700,26167227
2015-01-20,1635.5700,1700.9400,1635.5700,1700.8500,26255331
2015-01-21,1704.1000,1729.8400,1701.8700,1722.5800,29807348
2015-01-22,1723.2400,1744.0800,1716.3900,1744.0400,25850792
2015-01-23,1742.0900,1742.0900,1693.5200,1697.2900,23622924
2015-01-26,1698.9900,1740.3700,1698.9900,1739.7900,20324148
2015-01-27,1742.4700,1754.2100,1715.5300,1743.6800,22208742
2015-01-28,1741.0700,1759.0000,1727.9200,1731.4100,22204674
2015-01-29,1717.4000,1733.6300,1709.3600,1711.3700,17053769
2015-01-30,1712.8500,1721.1400,1679.6900,1680.5800,17600389
2015-02-02,1667.1200,1708.7100,1660.0500,1696.8300,16017327
2015-02-03,1703.9300,1762.7300,1703.9300,1750.9100,22107002
2015-02-04,1753.7700,1770.2000,1743.0200,1757.7400,21675339
2015-02-05,1757.2300,1809.7200,1741.9600,1774.3100,27268284
2015-02-06,1772.3500,1783.6200,1725.6400,1730.9700,22554474
2015-02-09,1727.2200,1753.5000,1702.5600,1708.8500,17274077
2015-02-10,1707.2600,1747.8600,1700.8800,1747.6800,14723102
2015-02-11,1748.2300,1783.2400,1748.2300,1772.8500,17429104
2015-02-12,1777.2200,1799.4600,1776.3500,1788.8100,18833003
2015-02-13,1798.5400,1828.2400,1796.4100,1825.4900,23434640
2015-02-16,1836.7100,1897.6600,1836.7100,1896.6300,25701182
2015-02-17,1908.1800,1909.9100,1873.1700,1894.3100,20837925
2015-02-25,1899.3900,1909.6500,1872.1000,1876.7500,22085809
2015-02-26,1875.3300,1891.7800,1847.7300,1880.3900,22057948
2015-02-27,1880.6300,1928.0400,1880.6300,1928.0400,25087030
2015-03-02,1944.1100,1987.8000,1940.3200,1986.9900,32869531
2015-03-03,1987.3300,2004.0300,1961.0100,1961.7400,33661208
2015-03-04,1960.5400,2011.0800,1960.5400,2009.8300,29329329
2015-03-05,2015.7000,2032.2200,1997.4600,2014.7900,30333941
2015-03-06,2016.8100,2018.1800,1949.2900,1951.4000,27454184
2015-03-09,1941.4200,1996.9000,1932.8200,1994.3900,23708890
2015-03-10,2001.1900,2048.3000,2001.1900,2045.3200,26879783
2015-03-11,2050.7600,2054.7700,2022.3200,2035.8300,27548628
2015-03-12,2034.6200,2054.3900,1984.9100,2018.1300,27515747
2015-03-13,2020.6600,2070.9500,2011.1700,2069.0700,25475092
2015-03-16,2088.2000,2144.7800,2088.2000,2142.6700,34782782
2015-03-17,2149.3700,2164.4900,2117.7800,2137.4600,37031744
2015-03-18,2138.3700,2186.0200,2124.9800,2182.9200,37750039
2015-03-19,2184.7600,2192.5500,2160.9900,2183.8800,34983557
2015-03-20,2187.4700,2232.0800,2187.0100,2213.7700,35792059
2015-03-23,2225.8500,2293.9200,2221.7100,2293.6500,39047313
2015-03-24,2310.5100,2363.0600,2253.2000,2357.9700,48344707
2015-03-25,2364.9400,2405.5600,2344.1100,2385.0100,42627895
2015-03-26,2362.4500,2370.3000,2270.7900,2291.7900,43457615
2015-03-27,2274.6800,2326.4200,2267.8700,2323.8200,31041901
2015-03-30,2319.3100,2332.6000,2266.8500,2290.4800,33193596
2015-03-31,2294.3200,2358.2100,2288.3100,2335.1700,34588776
2015-04-01,2347.0000,2407.4900,2345.7500,2404.9100,34211588
2015-04-02,2434.7600,2475.3300,2420.1900,2475.3300,39817436
2015-04-03,2469.8500,2515.5800,2460.9400,2510.1600,39200268
2015-04-07,2530.0700,2557.8700,2522.2600,2556.7000,39071937
2015-04-08,2566.9400,2568.0900,2442.8200,2488.1600,43774349
2015-04-09,2481.6900,2501.3000,2346.8900,2496.4900,40257707
2015-04-10,2475.5600,2567.6800,2457.8200,2552.8300,35139350
2015-04-13,2558.1900,2596.9200,2545.2600,2577.7800,38288466
2015-04-14,2584.5900,2593.7000,2539.9400,2558.8500,36477492
2015-04-15,2548.9900,2548.9900,2441.7400,2441.7400,36021333
2015-04-16,2420.9300,2532.3100,2407.8500,2484.3300,30450606
2015-04-17,2507.4700,2511.9800,2453.2800,2463.9900,33251374
2015-04-20,2462.4100,2493.2000,2411.3400,2424.8500,34510159
2015-04-21,2443.1200,2566.0900,2443.1200,2566.0900,32057303
2015-04-22,2610.7400,2655.3700,2610.7400,2634.9300,37301989
2015-04-23,2656.1800,2718.2600,2656.1800,2706.1900,38248610
2015-04-24,2689.9100,2747.6200,2672.2000,2734.7500,36429963
2015-04-27,2781.6000,2806.7600,2737.1500,2747.5000,34684443
2015-04-28,2764.4100,2779.2000,2650.4300,2687.9700,34410030
2015-04-29,2693.4800,2798.5200,2674.7600,2797.5200,29865932
2015-04-30,2825.1600,2918.7500,2825.1600,2857.8900,34285827
2015-05-04,2868.1000,2884.4400,2803.8200,2845.2500,29104458
2015-05-05,2830.7900,2845.7100,2753.8700,2783.4400,30083796
2015-05-06,2806.3000,2927.0300,2806.3000,2846.5600,34768114
2015-05-07,2824.8200,2879.6800,2801.4700,2806.0500,30603594
2015-05-08,2838.9700,2974.3700,2838.9700,2973.6000,38363323
2015-05-11,3015.4300,3150.4900,2991.3300,3146.8300,48013491
2015-05-12,3176.5400,3254.9900,3133.9600,3250.3000,51249206
2015-05-13,3185.3400,3271.1800,3123.9200,3192.1500,46156897
2015-05-14,3174.4500,3228.0300,3137.2800,3141.5900,44148590
2015-05-15,3109.1100,3176.1200,3059.8600,3145.3400,40803046
2015-05-18,3178.3700,3286.4100,3178.3700,3278.4800,42156099
2015-05-19,3310.0900,3340.4200,3206.7800,3322.7700,44285353
2015-05-20,3339.1700,3471.9500,3339.1700,3406.2800,46165535
2015-05-21,3421.6100,3531.8400,3421.4500,3527.4100,44954143
2015-05-22,3594.5900,3618.2400,3438.5700,3516.6300,57570184
2015-05-25,3415.6700,3499.5400,3370.8400,3467.9200,45619500
2015-05-26,3471.8000,3619.4900,3471.8000,3618.2300,45465316
2015-05-27,3638.2100,3662.9800,3546.5800,3628.6700,49660296
2015-05-28,3618.3400,3677.3300,3432.9800,3432.9800,54111025
2015-05-29,3444.0600,3595.1700,3328.4600,3542.8400,49995028
2015-06-01,3580.0800,3722.8600,3580.0800,3718.7500,43302740
2015-06-02,3757.1000,3912.4800,3756.0900,3901.5400,50081951
2015-06-03,3949.2800,4011.0400,3838.2200,3982.2500,49970440
2015-06-04,3991.8000,4015.2000,3695.8300,3943.4700,47259474
2015-06-05,3994.4400,4037.9600,3841.4200,3885.8300,46810857
2015-06-08,3862.8000,3862.8000,3643.0400,3704.5500,44704763
2015-06-09,3664.3700,3793.3700,3633.7200,3705.5400,38942848
