date,a,b,diff_pct
1993-01-01,5251079630000.000000,5251079630000.000000,0.000000
1994-01-01,5137739860000.000000,5137739860000.000000,0.000000
1995-01-01,6952026000000.000000,6952026000000.000000,0.000000
1996-01-01,8480497000000.000000,8480497000000.000000,0.000000
1997-01-01,10770143000000.000000,10770143000000.000000,0.000000
1998-01-01,12922580000000.000000,12922580000000.000000,0.000000
1999-01-01,14777387400000.000000,14777387400000.000000,0.000000
2000-01-01,15107751000000.000000,15107751000000.000000,0.000000
2001-01-01,13983666000000.000000,13983666000000.000000,0.000000
2002-01-01,11054430000000.000000,11054430000000.000000,0.000000
2003-01-01,14266265650000.000000,14266265650000.000000,0.000000
2004-01-01,16323726330000.000000,16323726330000.000000,0.000000
2005-01-01,17000864470000.000000,17000864470000.000000,0.000000
2006-01-01,19568972500000.000000,19568972500000.000000,0.000000
2007-01-01,19922279820000.000000,19922279820000.000000,0.000000
2008-01-01,11590277780000.000000,11590277780000.000000,0.000000
2009-01-01,15077285740000.000000,15077285740000.000000,0.000000
2010-01-01,17283451680000.000000,17283451680000.000000,0.000000
2011-01-01,15640707040000.000000,15640707040000.000000,0.000000
2012-01-01,18668333210000.000000,18668333210000.000000,0.000000
2013-01-01,24034853520000.000000,24034853520000.000000,0.000000
2014-01-01,26330589190000.000000,26330589190000.000000,0.000000
2015-01-01,25067539600000.000000,25067539600000.000000,0.000000
2016-01-01,27352200720000.000000,27352200720000.000000,0.000000
2017-01-01,32120702650000.000000,32120702650000.000000,0.000000
2018-01-01,30436313050000.000000,30436313050000.000000,0.000000
2019-01-01,34085727370000.000000,34085727370000.000000,0.000000
2020-01-01,41569861770000.000000,41569861770000.000000,0.000000
2021-01-01,48548538120000.000000,48548538120000.000000,0.000000
2022-01-01,40297980320000.000000,40297980320000.000000,0.000000
2023-01-01,48979397700000.000000,48979397700000.000000,0.000000
2024-01-01,62185685320000.000000,62185685320000.000000,0.000000
2025-01-01,68937866210000.000000,68937866210000.000000,0.000000
